Series Name,Series Code,Country Name,Country Code,Year,Year Code,Value
Out-of-pocket health expenditure (% of private expenditure on health),SH.XPD.OOPC.ZS,China,CHN,2011,YR2011,78.82829111
Out-of-pocket health expenditure (% of private expenditure on health),SH.XPD.OOPC.ZS,China,CHN,2012,YR2012,77.96962709
Out-of-pocket health expenditure (% of private expenditure on health),SH.XPD.OOPC.ZS,China,CHN,2013,YR2013,76.65467837
Out-of-pocket health expenditure (% of private expenditure on health),SH.XPD.OOPC.ZS,Fiji,FJI,2009,YR2009,72.47233984
Out-of-pocket health expenditure (% of private expenditure on health),SH.XPD.OOPC.ZS,Fiji,FJI,2010,YR2010,65.82095438
Out-of-pocket health expenditure (% of private expenditure on health),SH.XPD.OOPC.ZS,Fiji,FJI,2011,YR2011,64.71947083
Out-of-pocket health expenditure (% of private expenditure on health),SH.XPD.OOPC.ZS,Fiji,FJI,2012,YR2012,64.07617435
Out-of-pocket health expenditure (% of private expenditure on health),SH.XPD.OOPC.ZS,Fiji,FJI,2013,YR2013,64.07617435
Out-of-pocket health expenditure (% of private expenditure on health),SH.XPD.OOPC.ZS,French Polynesia,PYF,2009,YR2009,..
Out-of-pocket health expenditure (% of private expenditure on health),SH.XPD.OOPC.ZS,French Polynesia,PYF,2010,YR2010,..
Out-of-pocket health expenditure (% of private expenditure on health),SH.XPD.OOPC.ZS,French Polynesia,PYF,2011,YR2011,..
Out-of-pocket health expenditure (% of private expenditure on health),SH.XPD.OOPC.ZS,French Polynesia,PYF,2012,YR2012,..
Out-of-pocket health expenditure (% of private expenditure on health),SH.XPD.OOPC.ZS,French Polynesia,PYF,2013,YR2013,..
Out-of-pocket health expenditure (% of private expenditure on health),SH.XPD.OOPC.ZS,Guam,GUM,2009,YR2009,..
Out-of-pocket health expenditure (% of private expenditure on health),SH.XPD.OOPC.ZS,Guam,GUM,2010,YR2010,..
Out-of-pocket health expenditure (% of private expenditure on health),SH.XPD.OOPC.ZS,Guam,GUM,2011,YR2011,..
Out-of-pocket health expenditure (% of private expenditure on health),SH.XPD.OOPC.ZS,Guam,GUM,2012,YR2012,..
Out-of-pocket health expenditure (% of private expenditure on health),SH.XPD.OOPC.ZS,Guam,GUM,2013,YR2013,..
Out-of-pocket health expenditure (% of private expenditure on health),SH.XPD.OOPC.ZS,Hong Kong SAR China,HKG,2009,YR2009,..
Out-of-pocket health expenditure (% of private expenditure on health),SH.XPD.OOPC.ZS,Hong Kong SAR China,HKG,2010,YR2010,..
Out-of-pocket health expenditure (% of private expenditure on health),SH.XPD.OOPC.ZS,Hong Kong SAR China,HKG,2011,YR2011,..
Out-of-pocket health expenditure (% of private expenditure on health),SH.XPD.OOPC.ZS,Hong Kong SAR China,HKG,2012,YR2012,..
Out-of-pocket health expenditure (% of private expenditure on health),SH.XPD.OOPC.ZS,Hong Kong SAR China,HKG,2013,YR2013,..
Out-of-pocket health expenditure (% of private expenditure on health),SH.XPD.OOPC.ZS,Indonesia,IDN,2009,YR2009,76.66561592
Out-of-pocket health expenditure (% of private expenditure on health),SH.XPD.OOPC.ZS,Indonesia,IDN,2010,YR2010,75.76148623
Out-of-pocket health expenditure (% of private expenditure on health),SH.XPD.OOPC.ZS,Indonesia,IDN,2011,YR2011,76.34860209
Out-of-pocket health expenditure (% of private expenditure on health),SH.XPD.OOPC.ZS,Indonesia,IDN,2012,YR2012,75.08745387
Out-of-pocket health expenditure (% of private expenditure on health),SH.XPD.OOPC.ZS,Indonesia,IDN,2013,YR2013,75.08745387
Out-of-pocket health expenditure (% of private expenditure on health),SH.XPD.OOPC.ZS,Japan,JPN,2009,YR2009,81.03967643
Out-of-pocket health expenditure (% of private expenditure on health),SH.XPD.OOPC.ZS,Japan,JPN,2010,YR2010,80.62057698
Out-of-pocket health expenditure (% of private expenditure on health),SH.XPD.OOPC.ZS,Japan,JPN,2011,YR2011,80.19424169
Out-of-pocket health expenditure (% of private expenditure on health),SH.XPD.OOPC.ZS,Japan,JPN,2012,YR2012,80.19424169
Out-of-pocket health expenditure (% of private expenditure on health),SH.XPD.OOPC.ZS,Japan,JPN,2013,YR2013,80.19424169
Out-of-pocket health expenditure (% of private expenditure on health),SH.XPD.OOPC.ZS,Kiribati,KIR,2009,YR2009,0.64369161
Out-of-pocket health expenditure (% of private expenditure on health),SH.XPD.OOPC.ZS,Kiribati,KIR,2010,YR2010,0.53701912
Out-of-pocket health expenditure (% of private expenditure on health),SH.XPD.OOPC.ZS,Kiribati,KIR,2011,YR2011,0.53701912
Out-of-pocket health expenditure (% of private expenditure on health),SH.XPD.OOPC.ZS,Kiribati,KIR,2012,YR2012,0.53701912
Out-of-pocket health expenditure (% of private expenditure on health),SH.XPD.OOPC.ZS,Kiribati,KIR,2013,YR2013,0.53701912
Out-of-pocket health expenditure (% of private expenditure on health),SH.XPD.OOPC.ZS,Korea Dem. Rep.,PRK,2009,YR2009,..
Out-of-pocket health expenditure (% of private expenditure on health),SH.XPD.OOPC.ZS,Korea Dem. Rep.,PRK,2010,YR2010,..
Out-of-pocket health expenditure (% of private expenditure on health),SH.XPD.OOPC.ZS,Korea Dem. Rep.,PRK,2011,YR2011,..
Out-of-pocket health expenditure (% of private expenditure on health),SH.XPD.OOPC.ZS,Korea Dem. Rep.,PRK,2012,YR2012,..
Out-of-pocket health expenditure (% of private expenditure on health),SH.XPD.OOPC.ZS,Korea Dem. Rep.,PRK,2013,YR2013,..
Out-of-pocket health expenditure (% of private expenditure on health),SH.XPD.OOPC.ZS,Korea Rep.,KOR,2009,YR2009,78.88742054
Out-of-pocket health expenditure (% of private expenditure on health),SH.XPD.OOPC.ZS,Korea Rep.,KOR,2010,YR2010,78.5390096
Out-of-pocket health expenditure (% of private expenditure on health),SH.XPD.OOPC.ZS,Korea Rep.,KOR,2011,YR2011,79.7419114
Out-of-pocket health expenditure (% of private expenditure on health),SH.XPD.OOPC.ZS,Korea Rep.,KOR,2012,YR2012,78.78650766
Out-of-pocket health expenditure (% of private expenditure on health),SH.XPD.OOPC.ZS,Korea Rep.,KOR,2013,YR2013,78.59211946
Out-of-pocket health expenditure (% of private expenditure on health),SH.XPD.OOPC.ZS,Lao PDR,LAO,2009,YR2009,59.44125347
Out-of-pocket health expenditure (% of private expenditure on health),SH.XPD.OOPC.ZS,Lao PDR,LAO,2010,YR2010,78.24653292
Out-of-pocket health expenditure (% of private expenditure on health),SH.XPD.OOPC.ZS,Lao PDR,LAO,2011,YR2011,83.56979264
Out-of-pocket health expenditure (% of private expenditure on health),SH.XPD.OOPC.ZS,Lao PDR,LAO,2012,YR2012,83.58529293
Out-of-pocket health expenditure (% of private expenditure on health),SH.XPD.OOPC.ZS,Lao PDR,LAO,2013,YR2013,78.80109426
Out-of-pocket health expenditure (% of private expenditure on health),SH.XPD.OOPC.ZS,Macao SAR China,MAC,2009,YR2009,..
Out-of-pocket health expenditure (% of private expenditure on health),SH.XPD.OOPC.ZS,Macao SAR China,MAC,2010,YR2010,..
Out-of-pocket health expenditure (% of private expenditure on health),SH.XPD.OOPC.ZS,Macao SAR China,MAC,2011,YR2011,..
Out-of-pocket health expenditure (% of private expenditure on health),SH.XPD.OOPC.ZS,Macao SAR China,MAC,2012,YR2012,..
Out-of-pocket health expenditure (% of private expenditure on health),SH.XPD.OOPC.ZS,Macao SAR China,MAC,2013,YR2013,..
Out-of-pocket health expenditure (% of private expenditure on health),SH.XPD.OOPC.ZS,Malaysia,MYS,2009,YR2009,76.32780359
Out-of-pocket health expenditure (% of private expenditure on health),SH.XPD.OOPC.ZS,Malaysia,MYS,2010,YR2010,76.7979572
Out-of-pocket health expenditure (% of private expenditure on health),SH.XPD.OOPC.ZS,Malaysia,MYS,2011,YR2011,77.83985222
Out-of-pocket health expenditure (% of private expenditure on health),SH.XPD.OOPC.ZS,Malaysia,MYS,2012,YR2012,77.96541648
Out-of-pocket health expenditure (% of private expenditure on health),SH.XPD.OOPC.ZS,Malaysia,MYS,2013,YR2013,79.94911131
Out-of-pocket health expenditure (% of private expenditure on health),SH.XPD.OOPC.ZS,Marshall Islands,MHL,2009,YR2009,75.20107239
Out-of-pocket health expenditure (% of private expenditure on health),SH.XPD.OOPC.ZS,Marshall Islands,MHL,2010,YR2010,75.20107239
Out-of-pocket health expenditure (% of private expenditure on health),SH.XPD.OOPC.ZS,Marshall Islands,MHL,2011,YR2011,75.20107239
Out-of-pocket health expenditure (% of private expenditure on health),SH.XPD.OOPC.ZS,Marshall Islands,MHL,2012,YR2012,75.20107239
Out-of-pocket health expenditure (% of private expenditure on health),SH.XPD.OOPC.ZS,Marshall Islands,MHL,2013,YR2013,75.20107244
Out-of-pocket health expenditure (% of private expenditure on health),SH.XPD.OOPC.ZS,Micronesia Fed. Sts.,FSM,2009,YR2009,97.5414874
Out-of-pocket health expenditure (% of private expenditure on health),SH.XPD.OOPC.ZS,Micronesia Fed. Sts.,FSM,2010,YR2010,97.5414874
Out-of-pocket health expenditure (% of private expenditure on health),SH.XPD.OOPC.ZS,Micronesia Fed. Sts.,FSM,2011,YR2011,97.5414874
Out-of-pocket health expenditure (% of private expenditure on health),SH.XPD.OOPC.ZS,Micronesia Fed. Sts.,FSM,2012,YR2012,97.5414874
Out-of-pocket health expenditure (% of private expenditure on health),SH.XPD.OOPC.ZS,Micronesia Fed. Sts.,FSM,2013,YR2013,97.5414874
Out-of-pocket health expenditure (% of private expenditure on health),SH.XPD.OOPC.ZS,Mongolia,MNG,2009,YR2009,93.08642368
Out-of-pocket health expenditure (% of private expenditure on health),SH.XPD.OOPC.ZS,Mongolia,MNG,2010,YR2010,93.08642489
Out-of-pocket health expenditure (% of private expenditure on health),SH.XPD.OOPC.ZS,Mongolia,MNG,2011,YR2011,93.08644218
Out-of-pocket health expenditure (% of private expenditure on health),SH.XPD.OOPC.ZS,Mongolia,MNG,2012,YR2012,93.10777827
Out-of-pocket health expenditure (% of private expenditure on health),SH.XPD.OOPC.ZS,Mongolia,MNG,2013,YR2013,93.10777827
Out-of-pocket health expenditure (% of private expenditure on health),SH.XPD.OOPC.ZS,Myanmar,MMR,2009,YR2009,92.69568976
Out-of-pocket health expenditure (% of private expenditure on health),SH.XPD.OOPC.ZS,Myanmar,MMR,2010,YR2010,90.74725162
Out-of-pocket health expenditure (% of private expenditure on health),SH.XPD.OOPC.ZS,Myanmar,MMR,2011,YR2011,93.72045846
Out-of-pocket health expenditure (% of private expenditure on health),SH.XPD.OOPC.ZS,Myanmar,MMR,2012,YR2012,93.72045846
Out-of-pocket health expenditure (% of private expenditure on health),SH.XPD.OOPC.ZS,Myanmar,MMR,2013,YR2013,93.72045846
Out-of-pocket health expenditure (% of private expenditure on health),SH.XPD.OOPC.ZS,New Caledonia,NCL,2009,YR2009,..
Out-of-pocket health expenditure (% of private expenditure on health),SH.XPD.OOPC.ZS,New Caledonia,NCL,2010,YR2010,..
Out-of-pocket health expenditure (% of private expenditure on health),SH.XPD.OOPC.ZS,New Caledonia,NCL,2011,YR2011,..
Out-of-pocket health expenditure (% of private expenditure on health),SH.XPD.OOPC.ZS,New Caledonia,NCL,2012,YR2012,..
Out-of-pocket health expenditure (% of private expenditure on health),SH.XPD.OOPC.ZS,New Caledonia,NCL,2013,YR2013,..
Out-of-pocket health expenditure (% of private expenditure on health),SH.XPD.OOPC.ZS,New Zealand,NZL,2009,YR2009,62.59212362
Out-of-pocket health expenditure (% of private expenditure on health),SH.XPD.OOPC.ZS,New Zealand,NZL,2010,YR2010,62.58070729
Out-of-pocket health expenditure (% of private expenditure on health),SH.XPD.OOPC.ZS,New Zealand,NZL,2011,YR2011,63.20234553
Out-of-pocket health expenditure (% of private expenditure on health),SH.XPD.OOPC.ZS,New Zealand,NZL,2012,YR2012,62.79038696
Out-of-pocket health expenditure (% of private expenditure on health),SH.XPD.OOPC.ZS,New Zealand,NZL,2013,YR2013,62.79038696
Out-of-pocket health expenditure (% of private expenditure on health),SH.XPD.OOPC.ZS,Northern Mariana Islands,MNP,2009,YR2009,..
Out-of-pocket health expenditure (% of private expenditure on health),SH.XPD.OOPC.ZS,Northern Mariana Islands,MNP,2010,YR2010,..
Out-of-pocket health expenditure (% of private expenditure on health),SH.XPD.OOPC.ZS,Northern Mariana Islands,MNP,2011,YR2011,..
Out-of-pocket health expenditure (% of private expenditure on health),SH.XPD.OOPC.ZS,Northern Mariana Islands,MNP,2012,YR2012,..
Out-of-pocket health expenditure (% of private expenditure on health),SH.XPD.OOPC.ZS,Northern Mariana Islands,MNP,2013,YR2013,..
Out-of-pocket health expenditure (% of private expenditure on health),SH.XPD.OOPC.ZS,Palau,PLW,2009,YR2009,46.10774482
Out-of-pocket health expenditure (% of private expenditure on health),SH.XPD.OOPC.ZS,Palau,PLW,2010,YR2010,46.16813554
Out-of-pocket health expenditure (% of private expenditure on health),SH.XPD.OOPC.ZS,Palau,PLW,2011,YR2011,46.16813554
Out-of-pocket health expenditure (% of private expenditure on health),SH.XPD.OOPC.ZS,Palau,PLW,2012,YR2012,46.16813554
Out-of-pocket health expenditure (% of private expenditure on health),SH.XPD.OOPC.ZS,Palau,PLW,2013,YR2013,46.16813554
Out-of-pocket health expenditure (% of private expenditure on health),SH.XPD.OOPC.ZS,Papua New Guinea,PNG,2009,YR2009,55.88967123
Out-of-pocket health expenditure (% of private expenditure on health),SH.XPD.OOPC.ZS,Papua New Guinea,PNG,2010,YR2010,55.88967123
Out-of-pocket health expenditure (% of private expenditure on health),SH.XPD.OOPC.ZS,Papua New Guinea,PNG,2011,YR2011,55.88967123
Out-of-pocket health expenditure (% of private expenditure on health),SH.XPD.OOPC.ZS,Papua New Guinea,PNG,2012,YR2012,55.88967123
Out-of-pocket health expenditure (% of private expenditure on health),SH.XPD.OOPC.ZS,Papua New Guinea,PNG,2013,YR2013,55.88967123
Out-of-pocket health expenditure (% of private expenditure on health),SH.XPD.OOPC.ZS,Philippines,PHL,2009,YR2009,83.7078007
Out-of-pocket health expenditure (% of private expenditure on health),SH.XPD.OOPC.ZS,Philippines,PHL,2010,YR2010,83.62590951
Out-of-pocket health expenditure (% of private expenditure on health),SH.XPD.OOPC.ZS,Philippines,PHL,2011,YR2011,83.02482528
Out-of-pocket health expenditure (% of private expenditure on health),SH.XPD.OOPC.ZS,Philippines,PHL,2012,YR2012,82.76534119
Out-of-pocket health expenditure (% of private expenditure on health),SH.XPD.OOPC.ZS,Philippines,PHL,2013,YR2013,82.9074156
Out-of-pocket health expenditure (% of private expenditure on health),SH.XPD.OOPC.ZS,Samoa,WSM,2009,YR2009,62.59789481
Out-of-pocket health expenditure (% of private expenditure on health),SH.XPD.OOPC.ZS,Samoa,WSM,2010,YR2010,62.59789481
Out-of-pocket health expenditure (% of private expenditure on health),SH.XPD.OOPC.ZS,Samoa,WSM,2011,YR2011,62.59789481
Out-of-pocket health expenditure (% of private expenditure on health),SH.XPD.OOPC.ZS,Samoa,WSM,2012,YR2012,62.59789481
Out-of-pocket health expenditure (% of private expenditure on health),SH.XPD.OOPC.ZS,Samoa,WSM,2013,YR2013,62.59789481
Out-of-pocket health expenditure (% of private expenditure on health),SH.XPD.OOPC.ZS,Singapore,SGP,2009,YR2009,94.62727981
Out-of-pocket health expenditure (% of private expenditure on health),SH.XPD.OOPC.ZS,Singapore,SGP,2010,YR2010,94.20994105
Out-of-pocket health expenditure (% of private expenditure on health),SH.XPD.OOPC.ZS,Singapore,SGP,2011,YR2011,93.90353782
Out-of-pocket health expenditure (% of private expenditure on health),SH.XPD.OOPC.ZS,Singapore,SGP,2012,YR2012,93.73340039
Out-of-pocket health expenditure (% of private expenditure on health),SH.XPD.OOPC.ZS,Singapore,SGP,2013,YR2013,94.34758616
Out-of-pocket health expenditure (% of private expenditure on health),SH.XPD.OOPC.ZS,Solomon Islands,SLB,2009,YR2009,56.69931928
Out-of-pocket health expenditure (% of private expenditure on health),SH.XPD.OOPC.ZS,Solomon Islands,SLB,2010,YR2010,56.69931928
Out-of-pocket health expenditure (% of private expenditure on health),SH.XPD.OOPC.ZS,Solomon Islands,SLB,2011,YR2011,56.69931928
Out-of-pocket health expenditure (% of private expenditure on health),SH.XPD.OOPC.ZS,Solomon Islands,SLB,2012,YR2012,56.69931928
Out-of-pocket health expenditure (% of private expenditure on health),SH.XPD.OOPC.ZS,Solomon Islands,SLB,2013,YR2013,56.69931928
Out-of-pocket health expenditure (% of private expenditure on health),SH.XPD.OOPC.ZS,Thailand,THA,2009,YR2009,59.58502763
Out-of-pocket health expenditure (% of private expenditure on health),SH.XPD.OOPC.ZS,Thailand,THA,2010,YR2010,55.85654682
Out-of-pocket health expenditure (% of private expenditure on health),SH.XPD.OOPC.ZS,Thailand,THA,2011,YR2011,55.7604924
Out-of-pocket health expenditure (% of private expenditure on health),SH.XPD.OOPC.ZS,Thailand,THA,2012,YR2012,56.65231082
Out-of-pocket health expenditure (% of private expenditure on health),SH.XPD.OOPC.ZS,Thailand,THA,2013,YR2013,56.65231082
Out-of-pocket health expenditure (% of private expenditure on health),SH.XPD.OOPC.ZS,Timor-Leste,TMP,2009,YR2009,98.10468612
Out-of-pocket health expenditure (% of private expenditure on health),SH.XPD.OOPC.ZS,Timor-Leste,TMP,2010,YR2010,98.48863512
Out-of-pocket health expenditure (% of private expenditure on health),SH.XPD.OOPC.ZS,Timor-Leste,TMP,2011,YR2011,99.21036609
Out-of-pocket health expenditure (% of private expenditure on health),SH.XPD.OOPC.ZS,Timor-Leste,TMP,2012,YR2012,99.36386768
Out-of-pocket health expenditure (% of private expenditure on health),SH.XPD.OOPC.ZS,Timor-Leste,TMP,2013,YR2013,99.36386768
Out-of-pocket health expenditure (% of private expenditure on health),SH.XPD.OOPC.ZS,Tonga,TON,2009,YR2009,67.81697886
Out-of-pocket health expenditure (% of private expenditure on health),SH.XPD.OOPC.ZS,Tonga,TON,2010,YR2010,67.81697886
Out-of-pocket health expenditure (% of private expenditure on health),SH.XPD.OOPC.ZS,Tonga,TON,2011,YR2011,67.81697886
Out-of-pocket health expenditure (% of private expenditure on health),SH.XPD.OOPC.ZS,Tonga,TON,2012,YR2012,67.81697886
Out-of-pocket health expenditure (% of private expenditure on health),SH.XPD.OOPC.ZS,Tonga,TON,2013,YR2013,67.81697886
Out-of-pocket health expenditure (% of private expenditure on health),SH.XPD.OOPC.ZS,Tuvalu,TUV,2009,YR2009,100
Out-of-pocket health expenditure (% of private expenditure on health),SH.XPD.OOPC.ZS,Tuvalu,TUV,2010,YR2010,100
Out-of-pocket health expenditure (% of private expenditure on health),SH.XPD.OOPC.ZS,Tuvalu,TUV,2011,YR2011,100
Out-of-pocket health expenditure (% of private expenditure on health),SH.XPD.OOPC.ZS,Tuvalu,TUV,2012,YR2012,100
Out-of-pocket health expenditure (% of private expenditure on health),SH.XPD.OOPC.ZS,Tuvalu,TUV,2013,YR2013,100
Out-of-pocket health expenditure (% of private expenditure on health),SH.XPD.OOPC.ZS,Vanuatu,VUT,2009,YR2009,56.70046688
Out-of-pocket health expenditure (% of private expenditure on health),SH.XPD.OOPC.ZS,Vanuatu,VUT,2010,YR2010,56.70046688
Out-of-pocket health expenditure (% of private expenditure on health),SH.XPD.OOPC.ZS,Vanuatu,VUT,2011,YR2011,56.70046688
Out-of-pocket health expenditure (% of private expenditure on health),SH.XPD.OOPC.ZS,Vanuatu,VUT,2012,YR2012,56.70046688
Out-of-pocket health expenditure (% of private expenditure on health),SH.XPD.OOPC.ZS,Vanuatu,VUT,2013,YR2013,56.70046688
Out-of-pocket health expenditure (% of private expenditure on health),SH.XPD.OOPC.ZS,Vietnam,VNM,2009,YR2009,87.41465729
Out-of-pocket health expenditure (% of private expenditure on health),SH.XPD.OOPC.ZS,Vietnam,VNM,2010,YR2010,83.88513135
Out-of-pocket health expenditure (% of private expenditure on health),SH.XPD.OOPC.ZS,Vietnam,VNM,2011,YR2011,83.21188053
Out-of-pocket health expenditure (% of private expenditure on health),SH.XPD.OOPC.ZS,Vietnam,VNM,2012,YR2012,85.02146238
Out-of-pocket health expenditure (% of private expenditure on health),SH.XPD.OOPC.ZS,Vietnam,VNM,2013,YR2013,85.02146238
Out-of-pocket health expenditure (% of total expenditure on health),SH.XPD.OOPC.TO.ZS,American Samoa,ASM,2009,YR2009,..
Out-of-pocket health expenditure (% of total expenditure on health),SH.XPD.OOPC.TO.ZS,American Samoa,ASM,2010,YR2010,..
Out-of-pocket health expenditure (% of total expenditure on health),SH.XPD.OOPC.TO.ZS,American Samoa,ASM,2011,YR2011,..
Out-of-pocket health expenditure (% of total expenditure on health),SH.XPD.OOPC.TO.ZS,American Samoa,ASM,2012,YR2012,..
Out-of-pocket health expenditure (% of total expenditure on health),SH.XPD.OOPC.TO.ZS,American Samoa,ASM,2013,YR2013,..
Out-of-pocket health expenditure (% of total expenditure on health),SH.XPD.OOPC.TO.ZS,Australia,AUS,2009,YR2009,18.1120932
Out-of-pocket health expenditure (% of total expenditure on health),SH.XPD.OOPC.TO.ZS,Australia,AUS,2010,YR2010,18.5838748
Out-of-pocket health expenditure (% of total expenditure on health),SH.XPD.OOPC.TO.ZS,Australia,AUS,2011,YR2011,17.93827587
Out-of-pocket health expenditure (% of total expenditure on health),SH.XPD.OOPC.TO.ZS,Australia,AUS,2012,YR2012,18.73859109
Out-of-pocket health expenditure (% of total expenditure on health),SH.XPD.OOPC.TO.ZS,Australia,AUS,2013,YR2013,19.06092724
Out-of-pocket health expenditure (% of total expenditure on health),SH.XPD.OOPC.TO.ZS,Brunei Darussalam,BRN,2009,YR2009,7.78563752
Out-of-pocket health expenditure (% of total expenditure on health),SH.XPD.OOPC.TO.ZS,Brunei Darussalam,BRN,2010,YR2010,7.63119972
Out-of-pocket health expenditure (% of total expenditure on health),SH.XPD.OOPC.TO.ZS,Brunei Darussalam,BRN,2011,YR2011,7.80417477
Out-of-pocket health expenditure (% of total expenditure on health),SH.XPD.OOPC.TO.ZS,Brunei Darussalam,BRN,2012,YR2012,8.00096676
Out-of-pocket health expenditure (% of total expenditure on health),SH.XPD.OOPC.TO.ZS,Brunei Darussalam,BRN,2013,YR2013,7.9441377
Out-of-pocket health expenditure (% of total expenditure on health),SH.XPD.OOPC.TO.ZS,Cambodia,KHM,2009,YR2009,61.17902556
Out-of-pocket health expenditure (% of total expenditure on health),SH.XPD.OOPC.TO.ZS,Cambodia,KHM,2010,YR2010,61.6464811
Out-of-pocket health expenditure (% of total expenditure on health),SH.XPD.OOPC.TO.ZS,Cambodia,KHM,2011,YR2011,62.10983589
Out-of-pocket health expenditure (% of total expenditure on health),SH.XPD.OOPC.TO.ZS,Cambodia,KHM,2012,YR2012,60.25022242
Out-of-pocket health expenditure (% of total expenditure on health),SH.XPD.OOPC.TO.ZS,Cambodia,KHM,2013,YR2013,59.73979912
Out-of-pocket health expenditure (% of total expenditure on health),SH.XPD.OOPC.TO.ZS,China,CHN,2009,YR2009,37.4597749
Out-of-pocket health expenditure (% of total expenditure on health),SH.XPD.OOPC.TO.ZS,China,CHN,2010,YR2010,35.29105288
Out-of-pocket health expenditure (% of total expenditure on health),SH.XPD.OOPC.TO.ZS,China,CHN,2011,YR2011,34.77083754
Out-of-pocket health expenditure (% of total expenditure on health),SH.XPD.OOPC.TO.ZS,China,CHN,2012,YR2012,34.34090828
Out-of-pocket health expenditure (% of total expenditure on health),SH.XPD.OOPC.TO.ZS,China,CHN,2013,YR2013,33.87805738
Out-of-pocket health expenditure (% of total expenditure on health),SH.XPD.OOPC.TO.ZS,Fiji,FJI,2009,YR2009,22.19550256
Out-of-pocket health expenditure (% of total expenditure on health),SH.XPD.OOPC.TO.ZS,Fiji,FJI,2010,YR2010,19.65794025
Out-of-pocket health expenditure (% of total expenditure on health),SH.XPD.OOPC.TO.ZS,Fiji,FJI,2011,YR2011,22.00814766
Out-of-pocket health expenditure (% of total expenditure on health),SH.XPD.OOPC.TO.ZS,Fiji,FJI,2012,YR2012,21.67146729
Out-of-pocket health expenditure (% of total expenditure on health),SH.XPD.OOPC.TO.ZS,Fiji,FJI,2013,YR2013,20.88997709
Out-of-pocket health expenditure (% of total expenditure on health),SH.XPD.OOPC.TO.ZS,French Polynesia,PYF,2009,YR2009,..
Out-of-pocket health expenditure (% of total expenditure on health),SH.XPD.OOPC.TO.ZS,French Polynesia,PYF,2010,YR2010,..
Out-of-pocket health expenditure (% of total expenditure on health),SH.XPD.OOPC.TO.ZS,French Polynesia,PYF,2011,YR2011,..
Out-of-pocket health expenditure (% of total expenditure on health),SH.XPD.OOPC.TO.ZS,French Polynesia,PYF,2012,YR2012,..
Out-of-pocket health expenditure (% of total expenditure on health),SH.XPD.OOPC.TO.ZS,French Polynesia,PYF,2013,YR2013,..
Out-of-pocket health expenditure (% of total expenditure on health),SH.XPD.OOPC.TO.ZS,Guam,GUM,2009,YR2009,..
Out-of-pocket health expenditure (% of total expenditure on health),SH.XPD.OOPC.TO.ZS,Guam,GUM,2010,YR2010,..
