X1,X2,V3
2,88,-23223
2,89,-23754
2,90,-24291
2,91,-24834
2,92,-25383
2,93,-25938
2,94,-26499
2,95,-27066
2,96,-27639
2,97,-28218
2,98,-28803
2,99,-29394
2,100,-29991
3,1,16
3,2,7
3,3,-8
3,4,-29
3,5,-56
3,6,-89
3,7,-128
3,8,-173
3,9,-224
3,10,-281
3,11,-344
3,12,-413
3,13,-488
3,14,-569
3,15,-656
3,16,-749
3,17,-848
3,18,-953
3,19,-1064
3,20,-1181
3,21,-1304
3,22,-1433
3,23,-1568
3,24,-1709
3,25,-1856
3,26,-2009
3,27,-2168
3,28,-2333
3,29,-2504
3,30,-2681
3,31,-2864
3,32,-3053
3,33,-3248
3,34,-3449
3,35,-3656
3,36,-3869
3,37,-4088
3,38,-4313
3,39,-4544
3,40,-4781
3,41,-5024
3,42,-5273
3,43,-5528
3,44,-5789
3,45,-6056
3,46,-6329
3,47,-6608
3,48,-6893
3,49,-7184
3,50,-7481
3,51,-7784
3,52,-8093
3,53,-8408
3,54,-8729
3,55,-9056
3,56,-9389
3,57,-9728
3,58,-10073
3,59,-10424
3,60,-10781
3,61,-11144
3,62,-11513
3,63,-11888
3,64,-12269
3,65,-12656
3,66,-13049
3,67,-13448
3,68,-13853
3,69,-14264
3,70,-14681
3,71,-15104
3,72,-15533
3,73,-15968
3,74,-16409
3,75,-16856
3,76,-17309
3,77,-17768
3,78,-18233
3,79,-18704
3,80,-19181
3,81,-19664
3,82,-20153
3,83,-20648
3,84,-21149
3,85,-21656
3,86,-22169
3,87,-22688
3,88,-23213
3,89,-23744
3,90,-24281
3,91,-24824
3,92,-25373
3,93,-25928
3,94,-26489
3,95,-27056
3,96,-27629
3,97,-28208
3,98,-28793
3,99,-29384
3,100,-29981
4,1,30
4,2,21
4,3,6
4,4,-15
4,5,-42
4,6,-75
4,7,-114
4,8,-159
4,9,-210
4,10,-267
4,11,-330
4,12,-399
4,13,-474
4,14,-555
4,15,-642
4,16,-735
4,17,-834
4,18,-939
4,19,-1050
4,20,-1167
4,21,-1290
4,22,-1419
4,23,-1554
4,24,-1695
4,25,-1842
4,26,-1995
4,27,-2154
4,28,-2319
4,29,-2490
4,30,-2667
4,31,-2850
4,32,-3039
4,33,-3234
4,34,-3435
4,35,-3642
4,36,-3855
4,37,-4074
4,38,-4299
4,39,-4530
4,40,-4767
4,41,-5010
4,42,-5259
4,43,-5514
4,44,-5775
4,45,-6042
4,46,-6315
4,47,-6594
4,48,-6879
4,49,-7170
4,50,-7467
4,51,-7770
4,52,-8079
4,53,-8394
4,54,-8715
4,55,-9042
4,56,-9375
4,57,-9714
4,58,-10059
4,59,-10410
4,60,-10767
4,61,-11130
4,62,-11499
4,63,-11874
4,64,-12255
4,65,-12642
4,66,-13035
4,67,-13434
4,68,-13839
4,69,-14250
4,70,-14667
4,71,-15090
4,72,-15519
4,73,-15954
4,74,-16395
4,75,-16842
4,76,-17295
4,77,-17754
4,78,-18219
4,79,-18690
4,80,-19167
4,81,-19650
4,82,-20139
4,83,-20634
4,84,-21135
4,85,-21642
4,86,-22155
4,87,-22674
4,88,-23199
4,89,-23730
4,90,-24267
4,91,-24810
4,92,-25359
4,93,-25914
4,94,-26475
4,95,-27042
4,96,-27615
4,97,-28194
4,98,-28779
4,99,-29370
4,100,-29967
5,1,48
5,2,39
5,3,24
5,4,3
5,5,-24
5,6,-57
5,7,-96
5,8,-141
5,9,-192
5,10,-249
5,11,-312
5,12,-381
5,13,-456
5,14,-537
5,15,-624
5,16,-717
5,17,-816
5,18,-921
5,19,-1032
5,20,-1149
5,21,-1272
5,22,-1401
5,23,-1536
5,24,-1677
5,25,-1824
5,26,-1977
5,27,-2136
5,28,-2301
5,29,-2472
5,30,-2649
5,31,-2832
5,32,-3021
5,33,-3216
5,34,-3417
5,35,-3624
5,36,-3837
5,37,-4056
5,38,-4281
5,39,-4512
5,40,-4749
5,41,-4992
5,42,-5241
5,43,-5496
5,44,-5757
5,45,-6024
5,46,-6297
5,47,-6576
5,48,-6861
5,49,-7152
5,50,-7449
5,51,-7752
5,52,-8061
5,53,-8376
5,54,-8697
5,55,-9024
5,56,-9357
5,57,-9696
5,58,-10041
5,59,-10392
5,60,-10749
5,61,-11112
5,62,-11481
5,63,-11856
5,64,-12237
5,65,-12624
5,66,-13017
5,67,-13416
5,68,-13821
5,69,-14232
5,70,-14649
5,71,-15072
5,72,-15501
5,73,-15936
5,74,-16377
5,75,-16824
5,76,-17277
5,77,-17736
5,78,-18201
5,79,-18672
5,80,-19149
5,81,-19632
5,82,-20121
5,83,-20616
5,84,-21117
5,85,-21624
5,86,-22137
5,87,-22656
5,88,-23181
5,89,-23712
5,90,-24249
5,91,-24792
5,92,-25341
5,93,-25896
5,94,-26457
5,95,-27024
5,96,-27597
5,97,-28176
5,98,-28761
5,99,-29352
5,100,-29949
6,1,70
6,2,61
6,3,46
6,4,25
6,5,-2
6,6,-35
6,7,-74
6,8,-119
6,9,-170
6,10,-227
6,11,-290
6,12,-359
6,13,-434
6,14,-515
6,15,-602
6,16,-695
6,17,-794
6,18,-899
6,19,-1010
6,20,-1127
6,21,-1250
6,22,-1379
6,23,-1514
6,24,-1655
6,25,-1802
6,26,-1955
6,27,-2114
6,28,-2279
6,29,-2450
6,30,-2627
6,31,-2810
6,32,-2999
6,33,-3194
6,34,-3395
6,35,-3602
6,36,-3815
6,37,-4034
6,38,-4259
6,39,-4490
6,40,-4727
6,41,-4970
6,42,-5219
6,43,-5474
6,44,-5735
6,45,-6002
6,46,-6275
6,47,-6554
6,48,-6839
6,49,-7130
6,50,-7427
6,51,-7730
6,52,-8039
6,53,-8354
6,54,-8675
6,55,-9002
6,56,-9335
6,57,-9674
6,58,-10019
6,59,-10370
6,60,-10727
6,61,-11090
6,62,-11459
6,63,-11834
6,64,-12215
6,65,-12602
6,66,-12995
6,67,-13394
6,68,-13799
6,69,-14210
6,70,-14627
6,71,-15050
6,72,-15479
6,73,-15914
6,74,-16355
6,75,-16802
6,76,-17255
6,77,-17714
6,78,-18179
6,79,-18650
6,80,-19127
6,81,-19610
6,82,-20099
6,83,-20594
6,84,-21095
6,85,-21602
6,86,-22115
6,87,-22634
6,88,-23159
6,89,-23690
6,90,-24227
6,91,-24770
6,92,-25319
6,93,-25874
6,94,-26435
6,95,-27002
6,96,-27575
6,97,-28154
6,98,-28739
6,99,-29330
6,100,-29927
7,1,96
7,2,87
7,3,72
7,4,51
7,5,24
7,6,-9
7,7,-48
7,8,-93
7,9,-144
7,10,-201
7,11,-264
7,12,-333
7,13,-408
7,14,-489
7,15,-576
7,16,-669
7,17,-768
7,18,-873
7,19,-984
7,20,-1101
7,21,-1224
7,22,-1353
7,23,-1488
7,24,-1629
7,25,-1776
7,26,-1929
7,27,-2088
7,28,-2253
7,29,-2424
7,30,-2601
7,31,-2784
7,32,-2973
7,33,-3168
7,34,-3369
7,35,-3576
7,36,-3789
7,37,-4008
7,38,-4233
7,39,-4464
7,40,-4701
7,41,-4944
7,42,-5193
7,43,-5448
7,44,-5709
7,45,-5976
7,46,-6249
7,47,-6528
7,48,-6813
7,49,-7104
7,50,-7401
7,51,-7704
7,52,-8013
7,53,-8328
7,54,-8649
7,55,-8976
7,56,-9309
7,57,-9648
7,58,-9993
7,59,-10344
7,60,-10701
7,61,-11064
7,62,-11433
7,63,-11808
7,64,-12189
7,65,-12576
7,66,-12969
7,67,-13368
7,68,-13773
7,69,-14184
7,70,-14601
7,71,-15024
7,72,-15453
7,73,-15888
7,74,-16329
7,75,-16776
7,76,-17229
7,77,-17688
7,78,-18153
7,79,-18624
7,80,-19101
7,81,-19584
7,82,-20073
7,83,-20568
7,84,-21069
7,85,-21576
7,86,-22089
7,87,-22608
7,88,-23133
7,89,-23664
7,90,-24201
7,91,-24744
7,92,-25293
7,93,-25848
7,94,-26409
7,95,-26976
7,96,-27549
7,97,-28128
7,98,-28713
7,99,-29304
7,100,-29901
8,1,126
8,2,117
8,3,102
8,4,81
8,5,54
8,6,21
8,7,-18
8,8,-63
8,9,-114
8,10,-171
8,11,-234
8,12,-303
8,13,-378
8,14,-459
8,15,-546
8,16,-639
8,17,-738
8,18,-843
8,19,-954
8,20,-1071
8,21,-1194
8,22,-1323
8,23,-1458
8,24,-1599
8,25,-1746
8,26,-1899
8,27,-2058
8,28,-2223
8,29,-2394
8,30,-2571
8,31,-2754
8,32,-2943
8,33,-3138
8,34,-3339
8,35,-3546
8,36,-3759
8,37,-3978
8,38,-4203
8,39,-4434
8,40,-4671
8,41,-4914
8,42,-5163
8,43,-5418
8,44,-5679
8,45,-5946
8,46,-6219
8,47,-6498
8,48,-6783
8,49,-7074
8,50,-7371
8,51,-7674
8,52,-7983
8,53,-8298
8,54,-8619
8,55,-8946
8,56,-9279
8,57,-9618
8,58,-9963
8,59,-10314
8,60,-10671
8,61,-11034
8,62,-11403
8,63,-11778
8,64,-12159
8,65,-12546
8,66,-12939
8,67,-13338
8,68,-13743
8,69,-14154
8,70,-14571
8,71,-14994
8,72,-15423
8,73,-15858
8,74,-16299
8,75,-16746
8,76,-17199
8,77,-17658
8,78,-18123
8,79,-18594
8,80,-19071
8,81,-19554
8,82,-20043
8,83,-20538
8,84,-21039
8,85,-21546
8,86,-22059
8,87,-22578
8,88,-23103
8,89,-23634
8,90,-24171
8,91,-24714
8,92,-25263
8,93,-25818
8,94,-26379
8,95,-26946
8,96,-27519
8,97,-28098
8,98,-28683
8,99,-29274
8,100,-29871
9,1,160
9,2,151
9,3,136
9,4,115
9,5,88
9,6,55
9,7,16
9,8,-29
9,9,-80
9,10,-137
9,11,-200
9,12,-269
9,13,-344
9,14,-425
9,15,-512
9,16,-605
9,17,-704
9,18,-809
9,19,-920
9,20,-1037
9,21,-1160
9,22,-1289
9,23,-1424
9,24,-1565
9,25,-1712
9,26,-1865
9,27,-2024
9,28,-2189
9,29,-2360
9,30,-2537
9,31,-2720
9,32,-2909
9,33,-3104
9,34,-3305
9,35,-3512
9,36,-3725
9,37,-3944
9,38,-4169
9,39,-4400
9,40,-4637
9,41,-4880
9,42,-5129
9,43,-5384
9,44,-5645
9,45,-5912
9,46,-6185
9,47,-6464
9,48,-6749
9,49,-7040
9,50,-7337
9,51,-7640
9,52,-7949
9,53,-8264
9,54,-8585
9,55,-8912
9,56,-9245
9,57,-9584
9,58,-9929
9,59,-10280
9,60,-10637
9,61,-11000
9,62,-11369
9,63,-11744
9,64,-12125
9,65,-12512
9,66,-12905
9,67,-13304
9,68,-13709
9,69,-14120
9,70,-14537
9,71,-14960
9,72,-15389
9,73,-15824
9,74,-16265
9,75,-16712
9,76,-17165
9,77,-17624
9,78,-18089
9,79,-18560
9,80,-19037
9,81,-19520
9,82,-20009
9,83,-20504
9,84,-21005
9,85,-21512
9,86,-22025
9,87,-22544
9,88,-23069
9,89,-23600
9,90,-24137
9,91,-24680
9,92,-25229
9,93,-25784
9,94,-26345
9,95,-26912
9,96,-27485
9,97,-28064
9,98,-28649
9,99,-29240
9,100,-29837
10,1,198
10,2,189
10,3,174
10,4,153
10,5,126
10,6,93
10,7,54
10,8,9
10,9,-42
10,10,-99
10,11,-162
10,12,-231
10,13,-306
10,14,-387
10,15,-474
10,16,-567
10,17,-666
10,18,-771
10,19,-882
10,20,-999
10,21,-1122
10,22,-1251
10,23,-1386
10,24,-1527
10,25,-1674
10,26,-1827
10,27,-1986
10,28,-2151
10,29,-2322
10,30,-2499
10,31,-2682
10,32,-2871
10,33,-3066
10,34,-3267
10,35,-3474
10,36,-3687
10,37,-3906
10,38,-4131
10,39,-4362
10,40,-4599
10,41,-4842
10,42,-5091
10,43,-5346
10,44,-5607
10,45,-5874
10,46,-6147
10,47,-6426
10,48,-6711
10,49,-7002
10,50,-7299
10,51,-7602
10,52,-7911
10,53,-8226
10,54,-8547
10,55,-8874
10,56,-9207
10,57,-9546
10,58,-9891
10,59,-10242
10,60,-10599
10,61,-10962
10,62,-11331
10,63,-11706
10,64,-12087
10,65,-12474
10,66,-12867
10,67,-13266
10,68,-13671
10,69,-14082
10,70,-14499
10,71,-14922
10,72,-15351
10,73,-15786
10,74,-16227
10,75,-16674
10,76,-17127
10,77,-17586
10,78,-18051
10,79,-18522
10,80,-18999
10,81,-19482
10,82,-19971
10,83,-20466
10,84,-20967
10,85,-21474
10,86,-21987
10,87,-22506
10,88,-23031
10,89,-23562
10,90,-24099
10,91,-24642
10,92,-25191
10,93,-25746
10,94,-26307
10,95,-26874
10,96,-27447
10,97,-28026
10,98,-28611
10,99,-29202
10,100,-29799
11,1,240
11,2,231
11,3,216
11,4,195
11,5,168
11,6,135
11,7,96
11,8,51
11,9,0
11,10,-57
11,11,-120
11,12,-189
11,13,-264
11,14,-345
11,15,-432
11,16,-525
11,17,-624
11,18,-729
11,19,-840
11,20,-957
11,21,-1080
11,22,-1209
11,23,-1344
11,24,-1485
11,25,-1632
11,26,-1785
11,27,-1944
11,28,-2109
11,29,-2280
11,30,-2457
11,31,-2640
11,32,-2829
11,33,-3024
11,34,-3225
11,35,-3432
11,36,-3645
11,37,-3864
11,38,-4089
11,39,-4320
11,40,-4557
11,41,-4800
11,42,-5049
11,43,-5304
11,44,-5565
11,45,-5832
11,46,-6105
11,47,-6384
11,48,-6669
11,49,-6960
11,50,-7257
11,51,-7560
11,52,-7869
11,53,-8184
11,54,-8505
11,55,-8832
11,56,-9165
11,57,-9504
11,58,-9849
11,59,-10200
11,60,-10557
11,61,-10920
11,62,-11289
11,63,-11664
11,64,-12045
11,65,-12432
11,66,-12825
11,67,-13224
11,68,-13629
11,69,-14040
11,70,-14457
11,71,-14880
11,72,-15309
11,73,-15744
11,74,-16185
11,75,-16632
11,76,-17085
11,77,-17544
11,78,-18009
11,79,-18480
11,80,-18957
11,81,-19440
11,82,-19929
11,83,-20424
11,84,-20925
11,85,-21432
11,86,-21945
11,87,-22464
11,88,-22989
11,89,-23520
11,90,-24057
11,91,-24600
11,92,-25149
11,93,-25704
11,94,-26265
11,95,-26832
11,96,-27405
11,97,-27984
11,98,-28569
11,99,-29160
11,100,-29757
12,1,286
12,2,277
12,3,262
12,4,241
12,5,214
12,6,181
12,7,142
12,8,97
12,9,46
12,10,-11
12,11,-74
12,12,-143
12,13,-218
12,14,-299
12,15,-386
12,16,-479
12,17,-578
12,18,-683
12,19,-794
12,20,-911
12,21,-1034
12,22,-1163
12,23,-1298
12,24,-1439
12,25,-1586
12,26,-1739
12,27,-1898
12,28,-2063
12,29,-2234
12,30,-2411
12,31,-2594
12,32,-2783
12,33,-2978
12,34,-3179
12,35,-3386
12,36,-3599
12,37,-3818
12,38,-4043
12,39,-4274
12,40,-4511
12,41,-4754
12,42,-5003
12,43,-5258
12,44,-5519
12,45,-5786
12,46,-6059
12,47,-6338
12,48,-6623
12,49,-6914
12,50,-7211
12,51,-7514
12,52,-7823
12,53,-8138
12,54,-8459
12,55,-8786
12,56,-9119
12,57,-9458
12,58,-9803
12,59,-10154
12,60,-10511
12,61,-10874
12,62,-11243
12,63,-11618
12,64,-11999
12,65,-12386
12,66,-12779
12,67,-13178
12,68,-13583
12,69,-13994
12,70,-14411
12,71,-14834
12,72,-15263
12,73,-15698
12,74,-16139
12,75,-16586
12,76,-17039
12,77,-17498
12,78,-17963
12,79,-18434
12,80,-18911
12,81,-19394
12,82,-19883
12,83,-20378
12,84,-20879
12,85,-21386
12,86,-21899
12,87,-22418
12,88,-22943
12,89,-23474
12,90,-24011
12,91,-24554
12,92,-25103
12,93,-25658
12,94,-26219
12,95,-26786
12,96,-27359
12,97,-27938
12,98,-28523
12,99,-29114
12,100,-29711
13,1,336
13,2,327
13,3,312
13,4,291
13,5,264
13,6,231
13,7,192
13,8,147
13,9,96
13,10,39
13,11,-24
13,12,-93
13,13,-168
13,14,-249
13,15,-336
13,16,-429
13,17,-528
13,18,-633
13,19,-744
13,20,-861
13,21,-984
13,22,-1113
13,23,-1248
13,24,-1389
13,25,-1536
13,26,-1689
13,27,-1848
13,28,-2013
13,29,-2184
13,30,-2361
13,31,-2544
13,32,-2733
13,33,-2928
13,34,-3129
13,35,-3336
13,36,-3549
13,37,-3768
13,38,-3993
13,39,-4224
13,40,-4461
13,41,-4704
13,42,-4953
13,43,-5208
13,44,-5469
13,45,-5736
13,46,-6009
13,47,-6288
13,48,-6573
13,49,-6864
13,50,-7161
13,51,-7464
13,52,-7773
13,53,-8088
13,54,-8409
13,55,-8736
13,56,-9069
13,57,-9408
13,58,-9753
13,59,-10104
13,60,-10461
13,61,-10824
13,62,-11193
13,63,-11568
13,64,-11949
13,65,-12336
13,66,-12729
13,67,-13128
13,68,-13533
13,69,-13944
13,70,-14361
13,71,-14784
13,72,-15213
13,73,-15648
13,74,-16089
13,75,-16536
13,76,-16989
13,77,-17448
13,78,-17913
13,79,-18384
13,80,-18861
13,81,-19344
13,82,-19833
13,83,-20328
13,84,-20829
13,85,-21336
13,86,-21849
13,87,-22368
13,88,-22893
13,89,-23424
13,90,-23961
13,91,-24504
13,92,-25053
13,93,-25608
13,94,-26169
13,95,-26736
13,96,-27309
13,97,-27888
13,98,-28473
13,99,-29064
13,100,-29661
14,1,390
14,2,381
14,3,366
14,4,345
14,5,318
14,6,285
14,7,246
14,8,201
14,9,150
14,10,93
14,11,30
14,12,-39
14,13,-114
14,14,-195
14,15,-282
14,16,-375
14,17,-474
14,18,-579
14,19,-690
14,20,-807
14,21,-930
14,22,-1059
14,23,-1194
14,24,-1335
14,25,-1482
14,26,-1635
14,27,-1794
14,28,-1959
14,29,-2130
14,30,-2307
14,31,-2490
14,32,-2679
14,33,-2874
14,34,-3075
14,35,-3282
14,36,-3495
14,37,-3714
14,38,-3939
14,39,-4170
14,40,-4407
14,41,-4650
14,42,-4899
14,43,-5154
14,44,-5415
14,45,-5682
14,46,-5955
14,47,-6234
14,48,-6519
14,49,-6810
14,50,-7107
14,51,-7410
14,52,-7719
14,53,-8034
14,54,-8355
14,55,-8682
14,56,-9015
14,57,-9354
14,58,-9699
14,59,-10050
14,60,-10407
14,61,-10770
14,62,-11139
14,63,-11514
14,64,-11895
14,65,-12282
14,66,-12675
14,67,-13074
14,68,-13479
14,69,-13890
14,70,-14307
14,71,-14730
14,72,-15159
14,73,-15594
14,74,-16035
14,75,-16482
14,76,-16935
14,77,-17394
14,78,-17859
14,79,-18330
14,80,-18807
14,81,-19290
14,82,-19779
14,83,-20274
14,84,-20775
14,85,-21282
14,86,-21795
14,87,-22314
14,88,-22839
14,89,-23370
14,90,-23907
14,91,-24450
14,92,-24999
14,93,-25554
14,94,-26115
14,95,-26682
14,96,-27255
14,97,-27834
14,98,-28419
14,99,-29010
14,100,-29607
15,1,448
15,2,439
15,3,424
15,4,403
15,5,376
15,6,343
15,7,304
15,8,259
15,9,208
15,10,151
15,11,88
15,12,19
15,13,-56
15,14,-137
15,15,-224
15,16,-317
15,17,-416
15,18,-521
15,19,-632
15,20,-749
15,21,-872
15,22,-1001
15,23,-1136
15,24,-1277
15,25,-1424
15,26,-1577
15,27,-1736
15,28,-1901
15,29,-2072
15,30,-2249
15,31,-2432
15,32,-2621
15,33,-2816
15,34,-3017
15,35,-3224
15,36,-3437
15,37,-3656
15,38,-3881
15,39,-4112
15,40,-4349
15,41,-4592
15,42,-4841
15,43,-5096
15,44,-5357
15,45,-5624
15,46,-5897
15,47,-6176
15,48,-6461
15,49,-6752
15,50,-7049
15,51,-7352
15,52,-7661
15,53,-7976
15,54,-8297
15,55,-8624
15,56,-8957
15,57,-9296
15,58,-9641
15,59,-9992
15,60,-10349
15,61,-10712
15,62,-11081
15,63,-11456
15,64,-11837
15,65,-12224
15,66,-12617
15,67,-13016
15,68,-13421
15,69,-13832
15,70,-14249
15,71,-14672
15,72,-15101
15,73,-15536
15,74,-15977
15,75,-16424
15,76,-16877
15,77,-17336
15,78,-17801
15,79,-18272
15,80,-18749
15,81,-19232
15,82,-19721
15,83,-20216
15,84,-20717
15,85,-21224
15,86,-21737
15,87,-22256
15,88,-22781
15,89,-23312
15,90,-23849
15,91,-24392
15,92,-24941
15,93,-25496
15,94,-26057
15,95,-26624
15,96,-27197
15,97,-27776
15,98,-28361
15,99,-28952
15,100,-29549
16,1,510
16,2,501
16,3,486
16,4,465
16,5,438
16,6,405
16,7,366
16,8,321
16,9,270
16,10,213
16,11,150
16,12,81
16,13,6
16,14,-75
16,15,-162
16,16,-255
16,17,-354
16,18,-459
16,19,-570
16,20,-687
16,21,-810
16,22,-939
16,23,-1074
16,24,-1215
16,25,-1362
16,26,-1515
16,27,-1674
16,28,-1839
16,29,-2010
16,30,-2187
16,31,-2370
16,32,-2559
16,33,-2754
16,34,-2955
16,35,-3162
16,36,-3375
16,37,-3594
16,38,-3819
16,39,-4050
16,40,-4287
16,41,-4530
16,42,-4779
16,43,-5034
16,44,-5295
16,45,-5562
16,46,-5835
16,47,-6114
16,48,-6399
16,49,-6690
16,50,-6987
16,51,-7290
16,52,-7599
16,53,-7914
16,54,-8235
16,55,-8562
16,56,-8895
16,57,-9234
16,58,-9579
16,59,-9930
16,60,-10287
16,61,-10650
16,62,-11019
16,63,-11394
16,64,-11775
16,65,-12162
16,66,-12555
16,67,-12954
16,68,-13359
16,69,-13770
16,70,-14187
16,71,-14610
16,72,-15039
16,73,-15474
16,74,-15915
16,75,-16362
16,76,-16815
16,77,-17274
16,78,-17739
16,79,-18210
16,80,-18687
16,81,-19170
16,82,-19659
16,83,-20154
16,84,-20655
16,85,-21162
16,86,-21675
16,87,-22194
16,88,-22719
16,89,-23250
16,90,-23787
16,91,-24330
16,92,-24879
16,93,-25434
16,94,-25995
16,95,-26562
16,96,-27135
16,97,-27714
16,98,-28299
16,99,-28890
16,100,-29487
17,1,576
17,2,567
17,3,552
17,4,531
17,5,504
17,6,471
17,7,432
17,8,387
17,9,336
17,10,279
17,11,216
17,12,147
17,13,72
17,14,-9
17,15,-96
17,16,-189
17,17,-288
17,18,-393
17,19,-504
17,20,-621
17,21,-744
17,22,-873
17,23,-1008
17,24,-1149
17,25,-1296
17,26,-1449
17,27,-1608
17,28,-1773
17,29,-1944
17,30,-2121
17,31,-2304
17,32,-2493
17,33,-2688
17,34,-2889
17,35,-3096
17,36,-3309
17,37,-3528
17,38,-3753
17,39,-3984
17,40,-4221
17,41,-4464
17,42,-4713
17,43,-4968
17,44,-5229
17,45,-5496
17,46,-5769
17,47,-6048
17,48,-6333
17,49,-6624
17,50,-6921
17,51,-7224
17,52,-7533
17,53,-7848
17,54,-8169
17,55,-8496
17,56,-8829
17,57,-9168
17,58,-9513
17,59,-9864
17,60,-10221
17,61,-10584
17,62,-10953
17,63,-11328
17,64,-11709
17,65,-12096
17,66,-12489
17,67,-12888
17,68,-13293
17,69,-13704
17,70,-14121
17,71,-14544
17,72,-14973
17,73,-15408
17,74,-15849
17,75,-16296
17,76,-16749
17,77,-17208
17,78,-17673
17,79,-18144
17,80,-18621
17,81,-19104
17,82,-19593
17,83,-20088
17,84,-20589
17,85,-21096
17,86,-21609
17,87,-22128
17,88,-22653
17,89,-23184
17,90,-23721
17,91,-24264
17,92,-24813
17,93,-25368
17,94,-25929
17,95,-26496
17,96,-27069
17,97,-27648
17,98,-28233
17,99,-28824
17,100,-29421
18,1,646
18,2,637
18,3,622
18,4,601
18,5,574
18,6,541
18,7,502
18,8,457
18,9,406
18,10,349
18,11,286
18,12,217
18,13,142
18,14,61
18,15,-26
18,16,-119
18,17,-218
18,18,-323
18,19,-434
18,20,-551
18,21,-674
18,22,-803
18,23,-938
18,24,-1079
18,25,-1226
18,26,-1379
18,27,-1538
18,28,-1703
18,29,-1874
18,30,-2051
18,31,-2234
18,32,-2423
18,33,-2618
18,34,-2819
18,35,-3026
18,36,-3239
18,37,-3458
18,38,-3683
18,39,-3914
18,40,-4151
18,41,-4394
18,42,-4643
18,43,-4898
18,44,-5159
18,45,-5426
18,46,-5699
18,47,-5978
18,48,-6263
18,49,-6554
18,50,-6851
18,51,-7154
18,52,-7463
18,53,-7778
18,54,-8099
18,55,-8426
18,56,-8759
18,57,-9098
18,58,-9443
18,59,-9794
18,60,-10151
18,61,-10514
18,62,-10883
18,63,-11258
18,64,-11639
18,65,-12026
18,66,-12419
18,67,-12818
18,68,-13223
18,69,-13634
18,70,-14051
18,71,-14474
18,72,-14903
18,73,-15338
18,74,-15779
18,75,-16226
18,76,-16679
18,77,-17138
18,78,-17603
18,79,-18074
18,80,-18551
18,81,-19034
18,82,-19523
18,83,-20018
18,84,-20519
18,85,-21026
18,86,-21539
18,87,-22058
18,88,-22583
18,89,-23114
18,90,-23651
18,91,-24194
18,92,-24743
18,93,-25298
18,94,-25859
18,95,-26426
18,96,-26999
18,97,-27578
18,98,-28163
18,99,-28754
18,100,-29351
19,1,720
19,2,711
19,3,696
19,4,675
19,5,648
19,6,615
19,7,576
19,8,531
19,9,480
19,10,423
19,11,360
